LocationAbbr,LocationDesc,heart_disease_mortality_rate,coronary_heart_mortality_rate,stroke_mortality_rate,high_blood_pressure_prev,high_cholesterol_prev,uninsured_prev,poverty_prev,hs_completion_prev,food_insecurity_prev,lack_social_support_prev,diabetes_prev,diabetes_mortality_rate,obesity_prev,physical_inactivity_prev,low_fruit_prev,low_veggie_prev,depression_prev,mental_distress_prev,binge_drinking_prev,liver_disease_mortality_rate,cancer_incidence_rate,cancer_mortality_rate,lung_cancer_mortality_rate,copd_prev,copd_mortality_rate,smoking_prev,flu_vaccination_prev
AK,Alaska,154.7,71.8,42.3,47.2,28.4,9.8,16.7,84.7,9.5,8.8,8.5,74.8,32.3,21.3,42.1,18.5,20.4,15.4,18.0,24.4,421.3,146.8,32.8,5.4,93.1,16.2,41.1
AL,Alabama,247.5,84.6,54.9,60.0,33.8,12.7,25.8,86.9,13.1,9.6,13.6,82.9,38.4,27.8,46.1,20.3,24.6,18.7,13.7,17.0,440.8,166.9,44.6,8.3,140.8,16.2,36.9
AR,Arkansas,231.0,133.8,49.9,57.2,31.8,,27.2,88.8,15.0,,14.1,120.4,37.9,30.2,45.5,20.2,27.6,21.5,17.5,17.0,467.6,169.7,48.4,8.9,170.9,19.9,40.3
AZ,Arizona,158.3,91.4,36.1,45.2,30.8,13.9,21.2,85.2,10.1,10.4,11.4,94.9,33.5,22.6,42.2,21.8,20.6,17.4,18.7,21.5,376.6,132.3,27.7,5.9,101.3,13.1,37.0
CA,California,147.8,85.8,42.1,43.7,31.0,8.4,20.0,90.1,9.6,13.2,10.7,106.5,28.3,21.6,36.4,22.5,18.2,14.6,18.2,16.0,382.3,135.1,25.2,4.4,71.6,9.9,44.0
CO,Colorado,135.1,65.4,35.5,40.8,28.3,,15.8,87.7,10.5,,7.6,102.2,25.0,16.7,38.1,18.7,21.8,16.3,19.9,19.1,391.8,130.0,24.2,4.9,104.5,10.9,49.3
CT,Connecticut,136.7,66.5,29.5,45.3,30.9,8.3,16.0,90.2,9.6,9.2,9.2,47.8,30.7,22.5,35.7,20.1,20.0,15.4,17.2,12.2,445.5,136.3,30.3,5.0,64.8,10.3,50.6
DC,District of Columbia,192.8,105.7,43.6,49.6,30.5,3.4,20.8,92.8,9.0,7.6,8.8,124.5,25.4,16.0,32.8,17.7,19.3,13.3,24.2,9.5,406.9,149.5,26.9,4.1,40.6,11.0,59.9
DE,Delaware,162.7,91.2,56.8,49.6,32.2,8.6,18.6,89.0,11.2,8.6,11.9,94.5,38.0,22.7,40.1,21.3,20.9,15.5,15.6,10.9,457.8,158.1,38.6,6.3,98.6,13.8,44.6
FL,Florida,151.3,92.3,46.5,,,15.7,22.0,86.8,9.9,9.1,9.6,76.3,31.7,23.5,,,18.3,16.0,16.3,13.6,452.4,141.4,33.9,6.2,88.4,12.0,34.6
GA,Georgia,195.2,75.0,47.9,56.5,33.1,15.8,22.4,85.9,9.9,11.6,11.0,94.9,37.4,23.2,41.1,19.1,19.4,16.4,15.2,13.3,463.9,153.4,37.2,6.6,114.4,12.8,38.9
HI,Hawaii,126.5,66.9,43.8,43.1,29.7,,16.7,93.7,9.1,,10.4,66.9,27.0,20.6,43.5,22.3,13.0,12.2,19.9,9.7,407.0,125.7,26.6,3.0,46.0,10.5,48.2
IA,Iowa,184.9,107.7,33.8,45.1,28.9,6.6,18.6,90.6,7.0,6.5,10.3,107.5,37.8,24.9,42.3,23.1,19.2,14.1,23.2,13.7,483.1,154.2,37.9,5.8,110.4,15.5,45.5
ID,Idaho,166.4,84.3,36.8,45.0,28.2,10.2,19.4,86.9,9.8,6.6,8.9,113.5,33.6,21.0,42.1,16.2,23.2,15.7,16.4,16.6,445.0,145.9,28.7,5.5,118.0,12.4,37.3
IL,Illinois,169.8,79.6,44.1,46.1,27.9,,19.2,89.5,9.4,,10.8,77.2,33.0,22.1,39.6,16.7,18.0,14.0,18.3,11.9,459.7,155.3,37.3,5.2,86.8,12.8,42.2
IN,Indiana,191.2,96.3,43.9,51.5,30.3,8.7,20.1,86.4,9.7,8.8,11.3,112.2,38.4,26.6,42.9,20.9,23.3,17.5,15.7,14.9,,166.9,44.9,8.1,143.5,16.9,43.1
KS,Kansas,176.1,100.5,38.4,50.8,33.2,10.7,20.1,88.3,10.2,6.7,10.2,87.2,36.5,22.6,43.9,19.5,20.1,16.6,18.2,16.0,453.9,155.6,38.1,6.4,114.2,15.1,44.0
KY,Kentucky,217.5,108.6,45.8,55.2,32.4,4.5,26.2,89.6,12.3,8.5,13.0,167.3,38.1,25.1,44.8,19.2,26.4,16.4,14.0,17.3,502.7,182.8,54.7,10.4,161.3,17.6,40.8
LA,Louisiana,235.5,109.3,52.0,58.4,33.4,,29.3,85.3,14.5,,13.3,110.2,40.3,27.5,49.0,25.4,27.0,20.7,17.7,12.2,475.5,168.3,43.5,8.5,108.9,17.1,37.2
MA,Massachusetts,134.0,64.2,25.6,45.8,31.0,2.7,15.9,90.3,8.4,8.2,9.2,56.8,27.1,20.6,37.2,17.1,22.2,15.2,18.6,10.9,448.0,143.3,33.6,5.1,72.9,10.7,54.9
MD,Maryland,165.2,89.2,47.3,50.9,33.3,,15.8,88.9,8.7,,10.6,108.8,33.5,20.5,37.4,19.4,18.7,15.2,14.4,9.3,449.7,148.9,33.5,4.5,66.6,9.8,51.3
ME,Maine,168.4,90.6,32.5,45.8,27.7,6.0,18.9,89.6,9.5,7.1,9.1,82.0,33.4,20.7,35.6,13.2,28.4,18.1,17.7,16.5,473.4,164.8,43.7,7.4,117.9,16.0,50.3
MI,Michigan,209.6,116.5,46.2,49.8,31.6,,21.2,88.0,11.4,,10.0,93.9,34.6,22.8,39.8,19.0,24.1,17.7,18.7,15.0,438.2,160.6,40.6,8.0,109.7,16.0,47.3
MN,Minnesota,123.9,62.4,34.5,43.9,26.2,6.0,14.9,87.8,7.4,7.2,9.0,114.6,33.6,19.9,36.8,20.7,24.5,15.6,21.0,13.5,473.3,144.0,31.9,4.7,79.7,13.4,49.3
MO,Missouri,202.4,106.5,41.0,51.0,30.7,11.4,20.9,87.9,12.0,7.5,10.2,82.5,36.7,24.2,43.9,19.6,22.4,18.1,20.6,13.0,449.8,163.1,44.5,7.7,125.0,17.8,41.7
MS,Mississippi,255.2,125.6,57.8,63.7,32.8,13.1,30.5,86.7,15.3,14.0,13.9,182.8,40.1,30.9,46.9,22.8,21.1,16.5,14.4,17.9,465.4,181.0,49.5,9.8,163.9,18.1,32.3
MT,Montana,175.2,104.6,31.2,42.8,24.8,8.4,19.5,91.1,10.4,7.3,7.1,100.9,30.8,18.5,40.7,16.8,25.8,17.8,24.0,25.7,457.1,144.6,30.5,5.7,107.2,16.0,37.2
NC,North Carolina,170.9,87.3,46.5,52.4,31.4,12.6,22.2,89.0,10.9,9.7,10.8,95.2,34.2,22.7,40.5,17.9,22.4,15.9,18.1,14.8,464.4,154.5,40.0,6.7,101.0,14.9,43.8
ND,North Dakota,152.8,80.1,29.4,47.7,29.0,,16.9,91.5,7.7,,9.0,87.9,36.2,23.6,44.6,22.8,22.2,14.3,23.9,17.9,452.3,142.0,33.1,5.3,92.4,15.8,44.0
NE,Nebraska,160.8,73.9,36.5,48.1,29.3,,17.9,89.1,10.6,,9.8,118.8,35.6,24.1,43.2,20.8,17.5,12.5,20.5,14.4,459.2,150.6,33.8,5.0,110.8,13.6,46.9
NH,New Hampshire,154.1,78.8,30.3,42.9,27.4,6.4,12.0,92.0,5.4,8.2,8.2,76.0,30.0,19.0,36.5,15.5,26.8,18.3,18.8,14.0,476.0,150.7,37.0,5.6,98.7,11.5,50.1
NJ,New Jersey,157.5,81.2,32.3,46.4,33.2,10.1,16.0,90.6,8.3,11.0,9.5,59.0,29.0,22.8,35.5,21.3,14.8,14.2,16.7,9.4,471.2,141.0,30.2,4.9,55.9,10.7,48.7
NM,New Mexico,156.5,100.9,37.2,47.3,30.4,10.8,29.8,80.8,11.5,8.2,11.2,110.5,33.4,23.9,41.9,22.1,21.3,16.7,16.8,41.1,358.9,135.1,23.6,4.8,101.9,15.5,43.5
NV,Nevada,208.1,105.1,41.7,47.4,32.1,15.4,23.1,86.4,10.2,10.9,8.8,98.7,33.9,25.7,42.3,24.1,18.3,15.2,18.7,17.1,,150.7,34.9,6.5,111.6,14.9,34.8
NY,New York,162.3,105.8,25.7,47.0,32.1,,21.4,90.3,10.3,,10.0,71.9,30.3,25.1,36.1,20.9,18.1,15.8,17.8,8.2,474.4,137.1,30.1,4.6,60.9,11.5,45.8
OH,Ohio,204.7,105.8,49.0,51.0,30.1,,21.2,88.5,10.8,,11.4,104.3,38.4,24.0,43.4,19.4,26.0,19.4,19.9,14.2,465.4,166.1,42.9,8.5,115.5,17.7,42.0
OK,Oklahoma,264.2,113.5,42.5,56.6,31.9,,25.3,84.8,13.8,,12.2,216.4,40.6,28.6,49.0,20.6,27.4,18.7,14.4,19.4,443.4,175.2,46.5,7.5,168.5,16.0,38.8
OR,Oregon,148.5,67.7,45.1,45.1,27.2,,20.3,87.6,10.3,,9.1,114.8,31.1,18.5,38.3,16.6,24.8,18.8,19.4,17.6,419.3,150.6,33.2,5.8,93.7,12.8,43.0
PA,Pennsylvania,180.6,94.1,37.7,48.6,28.8,,19.1,88.3,9.2,,10.1,83.6,32.9,20.8,40.1,19.4,22.3,15.9,18.4,11.0,467.5,157.3,37.2,6.6,83.3,15.6,45.0
RI,Rhode Island,158.7,96.5,28.8,48.3,29.5,6.2,18.5,89.2,8.4,10.1,10.2,73.0,30.9,23.4,35.2,19.4,22.9,16.2,18.4,15.1,463.4,151.6,37.5,6.1,73.6,12.3,58.3
SC,South Carolina,189.1,89.1,48.3,54.4,32.0,14.3,23.6,87.4,12.6,9.3,11.1,133.1,35.5,25.0,42.2,20.6,20.6,16.7,18.2,17.3,430.8,158.6,39.3,6.8,116.8,16.2,39.3
SD,South Dakota,153.0,99.1,35.4,47.6,30.4,,19.3,85.1,8.7,,8.1,120.5,37.2,22.3,44.2,19.4,18.6,13.3,21.0,37.3,457.9,153.0,36.2,6.3,115.7,14.6,45.0
TN,Tennessee,223.8,131.1,46.2,54.9,33.4,13.5,23.0,89.4,11.2,10.1,13.1,120.7,39.1,26.5,46.3,19.7,30.2,21.3,16.4,17.2,457.8,170.4,47.0,10.6,142.7,19.2,38.3
TX,Texas,180.7,96.8,43.8,51.1,32.8,21.4,23.3,86.1,13.7,11.1,13.4,124.3,35.7,25.3,40.7,24.0,19.4,16.2,16.9,16.8,412.2,144.5,31.3,5.6,99.2,12.0,37.8
UT,Utah,162.4,69.2,32.4,43.1,29.4,10.5,15.1,89.4,11.2,7.8,9.1,91.2,31.8,17.1,37.4,19.8,26.1,16.1,12.7,11.6,398.3,120.6,16.6,4.4,83.5,6.9,43.6
VA,Virginia,167.2,84.9,42.1,52.0,33.8,,16.6,91.5,7.8,,11.3,82.6,35.4,20.2,39.7,18.1,22.3,17.1,17.8,11.6,408.2,149.7,35.3,6.5,85.3,12.3,45.8
VT,Vermont,175.7,117.0,31.9,42.2,26.4,5.4,16.5,91.2,7.9,8.1,7.0,101.5,26.9,18.5,34.6,13.7,25.9,17.3,20.3,12.4,454.4,156.2,36.3,5.9,86.2,13.7,53.2
WA,Washington,147.7,84.1,37.7,44.2,29.1,7.8,16.5,87.5,7.9,10.5,8.8,98.7,31.6,17.1,36.5,19.3,25.6,17.1,16.5,15.7,434.4,145.7,31.8,4.8,80.3,10.1,47.2
WI,Wisconsin,171.7,91.8,35.9,47.9,30.6,6.7,17.8,89.8,9.9,8.5,8.9,109.1,38.1,21.3,39.4,20.0,24.2,17.0,21.8,12.5,465.5,152.5,35.6,5.8,87.9,15.0,45.5
WV,West Virginia,223.0,134.9,41.2,58.0,33.8,7.1,27.6,89.7,14.0,10.1,14.6,145.9,41.5,27.9,46.2,18.3,28.0,22.5,15.5,17.9,482.4,177.5,49.7,12.3,165.0,22.3,39.7
WY,Wyoming,159.4,86.5,31.5,42.2,27.2,13.9,19.2,89.6,11.2,6.3,8.1,115.0,34.6,21.7,44.2,19.3,22.9,15.3,19.8,26.7,404.3,138.0,28.9,6.0,134.3,15.9,34.7
